,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
44.0,25,0,289980,12,9,1,12,4,3,1,0,0,35,22,2
45.0,57,7,337895,13,13,6,6,1,5,1,0,0,40,22,0
46.0,53,0,144361,12,9,6,13,1,3,1,0,0,38,22,2
47.0,44,0,128354,0,14,5,4,6,3,2,0,0,40,22,2
48.0,41,2,101603,14,11,6,7,1,3,1,0,0,40,22,2
49.0,29,0,271466,14,11,1,6,4,3,1,0,0,43,22,2
50.0,25,0,32275,10,10,6,4,2,2,2,0,0,40,22,2
51.0,18,0,226956,12,9,1,14,0,3,2,0,0,30,26,2
52.0,47,0,51835,6,15,6,6,2,3,2,0,1902,60,14,0
53.0,50,7,251585,13,13,5,4,4,3,1,0,0,55,22,0
54.0,47,3,109832,12,9,5,4,4,3,1,0,0,60,22,2
55.0,43,0,237993,10,10,6,9,1,3,1,0,0,40,22,0
56.0,46,0,216666,3,3,6,13,1,3,1,0,0,40,3,2
57.0,35,0,56352,14,11,6,14,1,3,1,0,0,40,38,2
58.0,41,0,147372,12,9,6,5,1,3,1,0,0,48,22,2
59.0,30,0,188146,12,9,6,13,1,3,1,5013,0,40,22,2
60.0,30,0,59496,13,13,6,3,1,3,1,2407,0,40,22,2
61.0,32,6,293936,15,4,4,8,4,3,1,0,0,40,26,2
62.0,48,0,149640,12,9,6,1,1,3,1,0,0,40,22,2
63.0,42,0,116632,9,16,6,6,1,3,1,0,0,45,22,0
64.0,29,0,105598,10,10,5,9,4,3,1,0,0,58,22,2
65.0,36,0,155537,12,9,6,7,1,3,1,0,0,40,22,2
66.0,28,0,183175,10,10,5,5,4,3,2,0,0,40,22,2
67.0,53,0,169846,12,9,6,5,2,3,2,0,0,40,22,0
68.0,49,3,191681,10,10,6,4,1,3,1,0,0,50,22,0
69.0,25,6,200681,10,10,1,8,0,3,1,0,0,40,22,2
70.0,19,0,101509,10,10,1,6,0,3,1,0,0,32,22,2
71.0,31,0,309974,13,13,0,3,0,5,2,0,0,40,22,2
72.0,29,1,162298,13,13,6,3,1,3,1,0,0,70,22,0
73.0,23,0,211678,10,10,1,13,4,3,1,0,0,40,22,2
74.0,79,0,124744,10,10,6,6,5,3,1,0,0,20,22,2
75.0,27,0,213921,12,9,1,14,0,3,1,0,0,40,3,2
76.0,40,0,32214,1,12,6,5,1,3,1,0,0,40,22,2
77.0,67,6,212759,2,6,6,8,1,3,1,0,0,2,22,2
78.0,18,0,309634,4,7,1,14,0,3,2,0,0,22,22,2
79.0,31,5,125927,15,4,6,0,1,3,1,0,0,40,22,2
80.0,18,0,446839,12,9,1,3,4,3,1,0,0,30,22,2
81.0,52,0,276515,13,13,6,14,1,3,1,0,0,40,15,2
82.0,46,0,51618,12,9,6,14,2,3,2,0,0,40,22,2
83.0,59,0,159937,12,9,6,3,1,3,1,0,0,48,22,2
84.0,44,0,343591,12,9,5,7,4,3,2,14344,0,40,22,0
85.0,53,0,346253,12,9,5,3,0,3,2,0,0,35,22,2
86.0,49,5,268234,12,9,6,2,1,3,1,0,0,40,22,0
87.0,33,0,202051,0,14,6,6,1,3,1,0,0,50,22,2
88.0,30,0,54334,7,5,1,3,4,3,1,0,0,40,22,2
89.0,43,7,410867,9,16,1,6,4,3,2,0,0,50,22,0
90.0,57,0,249977,14,11,6,6,1,3,1,0,0,40,22,2
91.0,37,0,286730,10,10,5,7,6,3,2,0,0,40,22,2
92.0,28,0,212563,10,10,5,13,6,5,2,0,0,25,22,2
93.0,30,0,117747,12,9,6,3,2,0,2,0,1573,35,26,2
94.0,34,5,226296,13,13,6,2,1,3,1,0,0,40,22,0
95.0,29,5,115585,10,10,1,12,4,3,1,0,0,50,22,2
96.0,48,1,191277,9,16,6,6,1,3,1,0,1902,60,22,0
97.0,37,0,202683,10,10,6,3,1,3,1,0,0,48,22,0
98.0,48,0,171095,1,12,5,4,6,3,2,0,0,40,6,2
99.0,32,7,249409,12,9,1,14,0,5,1,0,0,40,22,2
100.0,76,0,124191,0,14,6,4,1,3,1,0,0,40,22,0
101.0,44,0,198282,13,13,6,4,1,3,1,15024,0,60,22,0
102.0,47,1,149116,0,14,1,6,4,3,2,0,0,50,22,2
103.0,20,0,188300,10,10,1,9,0,3,2,0,0,40,22,2
104.0,29,0,103432,12,9,1,7,4,3,1,0,0,40,22,2
105.0,32,3,317660,12,9,6,7,1,3,1,7688,0,40,22,0
106.0,17,6,304873,2,6,1,8,0,3,2,34095,0,32,22,2
107.0,30,0,194901,4,7,1,12,0,3,1,0,0,40,22,2
108.0,31,5,189265,12,9,1,5,4,3,2,0,0,40,22,2
109.0,42,0,124692,12,9,6,12,1,3,1,0,0,40,22,2
110.0,24,0,432376,13,13,1,3,5,3,1,0,0,40,22,2
111.0,38,0,65324,6,15,6,6,1,3,1,0,0,40,22,0
112.0,56,1,335605,12,9,6,14,1,3,1,0,1887,50,13,0
113.0,28,0,377869,10,10,6,3,2,3,2,4064,0,25,22,2
114.0,36,0,102864,12,9,1,13,0,3,2,0,0,40,22,2
115.0,53,0,95647,7,5,6,12,1,3,1,0,0,50,22,2
116.0,56,3,303090,10,10,6,3,1,3,1,0,0,50,22,2
117.0,49,5,197371,14,11,6,7,1,5,1,0,0,40,22,0
118.0,55,0,247552,10,10,6,3,1,3,1,0,0,56,22,2
119.0,22,0,102632,12,9,1,7,4,3,1,0,0,41,22,2
120.0,21,0,199915,10,10,1,14,0,3,2,0,0,40,22,2
121.0,40,0,118853,13,13,6,4,1,3,1,0,0,60,22,2
122.0,30,0,77143,13,13,1,4,0,5,1,0,0,40,39,2
123.0,29,2,267989,13,13,6,6,1,3,1,0,0,50,22,0
124.0,19,0,301606,10,10,1,14,0,5,1,0,0,35,22,2
125.0,47,0,287828,13,13,6,4,2,3,2,0,0,40,22,0
126.0,20,0,111697,10,10,1,5,0,3,2,0,1719,28,22,2
127.0,31,0,114937,1,12,6,5,1,3,1,0,0,40,22,0
128.0,35,6,129305,12,9,6,8,1,3,1,0,0,40,22,2
129.0,39,0,365739,10,10,5,7,4,3,1,0,0,40,22,2
130.0,28,0,69621,1,12,1,3,4,3,2,0,0,60,22,2
131.0,24,0,43323,12,9,1,14,4,3,2,0,1762,40,22,2
132.0,38,1,120985,12,9,6,7,1,3,1,4386,0,35,22,2
133.0,37,0,254202,13,13,6,3,1,3,1,0,0,50,22,2
134.0,46,0,146195,1,12,5,9,4,5,2,0,0,36,22,2
135.0,38,7,125933,0,14,6,6,1,3,1,0,0,40,4,0
136.0,43,1,56920,12,9,6,7,1,3,1,0,0,60,22,2
137.0,27,0,163127,14,11,6,5,2,3,2,0,0,35,22,2
138.0,20,0,34310,10,10,1,3,0,3,1,0,0,20,22,2
139.0,49,0,81973,10,10,6,7,1,0,1,0,0,40,22,0
140.0,61,3,66614,12,9,6,7,1,3,1,0,0,40,22,2
141.0,27,0,232782,10,10,1,3,0,3,2,0,0,40,22,2
142.0,19,0,316868,10,10,1,14,0,3,1,0,0,30,3,2
143.0,45,0,196584,14,11,1,6,4,3,2,0,1564,40,22,0
144.0,70,0,105376,10,10,1,9,5,3,1,0,0,40,22,2
145.0,31,0,185814,12,9,1,1,6,5,2,0,0,30,22,2
146.0,22,0,175374,10,10,6,14,1,3,1,0,0,24,22,2
147.0,36,0,108293,12,9,2,14,6,3,2,0,0,24,22,2
148.0,64,0,181232,4,7,6,7,1,3,1,0,2179,40,22,2
149.0,43,6,174662,10,10,5,8,4,3,2,0,0,40,22,2
150.0,47,5,186009,10,10,5,5,6,3,2,0,0,38,3,2
151.0,34,0,198183,12,9,1,5,4,3,2,0,0,40,22,2
152.0,33,0,163003,13,13,1,4,5,0,2,0,0,40,19,2
153.0,21,0,296158,12,9,1,7,0,3,1,0,0,35,22,2
154.0,52,6,252903,12,9,5,8,4,3,1,0,0,45,22,0
155.0,48,0,187715,12,9,6,7,1,3,1,0,0,46,22,2
156.0,23,0,214542,13,13,1,12,4,3,1,0,0,40,22,2
157.0,71,1,494223,10,10,0,3,6,5,1,0,1816,2,22,2
158.0,29,0,191535,12,9,5,7,4,3,1,0,0,60,22,2
159.0,42,0,228456,13,13,0,14,5,5,1,0,0,50,22,2
160.0,68,6,38317,8,2,5,8,4,3,2,0,0,20,22,2
161.0,25,0,252752,12,9,1,14,6,3,2,0,0,40,22,2
162.0,44,3,78374,0,14,5,4,6,0,2,0,0,40,22,2
163.0,28,0,88419,12,9,1,4,4,0,2,0,0,40,6,2
164.0,45,1,201080,0,14,6,3,1,3,1,0,0,40,22,0
165.0,36,0,207157,10,10,5,14,6,3,2,0,0,40,3,2
166.0,39,7,235485,1,12,1,4,4,3,1,0,0,42,22,2
167.0,46,2,102628,0,14,2,2,6,3,1,0,0,40,22,2
168.0,18,0,25828,4,7,1,12,0,3,1,0,0,16,22,2
169.0,66,5,54826,14,11,2,6,4,3,2,0,0,20,22,2
170.0,27,0,124953,12,9,1,14,4,3,1,0,1980,40,22,2
171.0,28,2,175325,12,9,6,2,1,3,1,0,0,40,22,2
172.0,51,0,96062,10,10,6,3,1,3,1,0,1977,40,22,0
173.0,27,0,428030,13,13,1,7,4,3,1,0,0,50,22,2
174.0,28,2,149624,13,13,6,6,1,3,1,0,0,40,22,0
175.0,27,0,253814,12,9,4,3,6,3,2,0,0,25,22,2
176.0,21,0,312956,12,9,1,7,0,5,1,0,0,40,22,2
177.0,34,0,483777,12,9,1,12,4,5,1,0,0,40,22,2
178.0,18,0,183930,12,9,1,14,0,3,1,0,0,12,22,2
179.0,33,0,37274,13,13,6,6,1,3,1,0,0,65,22,2
180.0,44,5,181344,10,10,6,4,1,5,1,0,0,38,22,0
181.0,43,0,114580,10,10,5,5,4,3,2,0,0,40,22,2
182.0,30,0,633742,10,10,1,7,4,5,1,0,0,45,22,2
183.0,40,0,286370,15,4,6,13,1,3,1,0,0,40,3,0
184.0,37,7,29054,10,10,6,5,1,3,1,0,0,42,22,0
185.0,34,0,304030,12,9,6,5,1,5,1,0,0,40,22,2
186.0,41,1,143129,13,13,5,4,4,3,2,0,0,40,22,2
187.0,53,6,135105,13,13,5,8,4,3,2,0,0,50,22,2
188.0,31,0,99928,0,14,6,6,2,3,2,0,0,50,22,2
189.0,58,2,109567,9,16,6,6,1,3,1,0,0,1,22,0
190.0,38,0,155222,10,10,5,13,4,5,2,0,0,28,22,2
191.0,24,0,159567,10,10,6,13,1,3,1,0,0,40,22,2
192.0,41,5,523910,13,13,6,7,1,5,1,0,0,40,22,2
193.0,47,0,120939,10,10,6,9,1,3,1,0,0,45,22,2
194.0,41,7,130760,13,13,6,9,1,3,1,0,0,24,22,2
195.0,23,0,197387,3,3,6,1,5,3,1,0,0,40,3,2
196.0,36,0,99374,10,10,5,7,4,3,1,0,0,40,22,2
197.0,40,7,56795,0,14,1,4,4,3,2,14084,0,55,22,0
198.0,35,0,138992,0,14,6,6,5,3,1,7298,0,40,22,0
199.0,24,1,32921,12,9,1,3,4,3,1,0,0,40,22,2
200.0,26,0,397317,0,14,1,6,4,3,2,0,1876,40,22,2
201.0,19,6,170653,12,9,1,8,0,3,1,0,0,40,10,2
202.0,51,0,259323,13,13,6,4,1,3,1,0,0,50,22,0
203.0,42,5,254817,10,10,1,6,4,3,2,0,1340,40,22,2
204.0,37,2,48211,12,9,5,5,6,3,2,0,0,35,22,2
205.0,18,0,140164,4,7,1,3,0,3,2,0,0,40,22,2
206.0,36,0,128757,13,13,6,14,1,5,1,7298,0,36,22,0
207.0,35,0,36270,12,9,5,7,4,3,1,0,0,60,22,2
208.0,58,3,210563,12,9,6,3,2,3,2,15024,0,35,22,0
209.0,17,0,65368,4,7,1,3,0,3,2,0,0,12,22,2
210.0,44,5,160943,12,9,6,1,1,5,1,0,0,40,22,2
211.0,37,0,208358,12,9,6,7,1,3,1,0,0,40,22,0
212.0,35,0,153790,10,10,1,3,4,1,2,0,0,40,22,2
213.0,60,0,85815,12,9,6,7,1,0,1,0,0,40,22,2
214.0,54,3,125417,15,4,6,13,1,3,1,0,0,40,22,0
215.0,37,0,635913,13,13,1,4,4,5,1,0,0,60,22,0
216.0,50,0,313321,1,12,5,3,4,3,2,0,0,40,22,2
217.0,38,0,182609,13,13,6,3,1,3,1,0,0,50,40,2
218.0,45,0,109434,13,13,6,6,1,3,1,0,0,55,22,2
219.0,25,0,255004,2,6,1,7,4,3,1,0,0,40,22,2
220.0,31,0,197860,10,10,6,12,1,3,1,0,0,40,22,2
221.0,64,6,187656,8,2,5,8,4,3,1,0,0,40,22,2
222.0,90,0,51744,12,9,1,14,4,5,1,0,2206,40,22,2
223.0,54,0,176681,12,9,6,5,1,5,1,0,0,20,22,2
224.0,53,5,140359,16,1,1,13,4,3,2,0,0,35,22,2
225.0,18,0,243313,12,9,1,3,0,3,2,0,0,40,22,2
226.0,60,6,24215,2,6,5,8,4,1,2,0,0,10,22,2
227.0,66,1,167687,12,9,6,0,1,3,1,1409,0,50,22,2
228.0,75,0,314209,14,11,2,5,4,3,2,0,0,20,8,2
229.0,65,0,176796,12,9,5,5,4,3,2,0,0,40,22,2
230.0,35,0,538583,4,7,0,1,4,5,1,3674,0,40,22,2
231.0,41,0,130408,12,9,5,3,6,5,2,0,0,38,22,2
232.0,25,0,159732,10,10,1,5,4,3,1,0,0,42,22,2
233.0,33,0,110978,10,10,5,7,5,2,2,0,0,40,22,2
234.0,28,0,76714,6,15,1,6,4,3,1,0,0,55,22,0
235.0,59,2,268700,12,9,6,14,1,3,1,0,0,40,22,2
236.0,40,2,170525,10,10,1,5,4,3,2,0,0,38,22,2
237.0,41,0,180138,13,13,6,4,1,3,1,0,0,50,4,0
238.0,38,5,115076,0,14,6,4,1,3,1,0,0,70,22,0
239.0,23,0,115458,12,9,1,1,0,3,1,0,0,40,22,2
240.0,40,0,347890,13,13,6,6,1,3,1,0,0,40,22,0
241.0,41,1,196001,12,9,6,14,2,3,2,0,0,20,22,2
242.0,24,2,273905,1,12,6,2,1,3,1,0,0,50,22,2
243.0,20,6,119156,10,10,1,8,0,3,1,0,0,20,22,2
244.0,38,0,179488,10,10,5,7,4,3,1,0,1741,40,22,2
245.0,56,0,203580,12,9,6,5,1,3,1,0,0,35,26,2
246.0,58,0,236596,12,9,6,5,1,3,1,0,0,45,22,0
247.0,32,0,183916,12,9,1,14,4,3,2,0,0,34,22,2
248.0,40,0,207578,1,12,6,9,1,3,1,0,1977,60,22,0
249.0,45,0,153141,12,9,6,5,1,3,1,0,0,40,26,2
250.0,41,0,112763,6,15,6,6,2,3,2,0,0,40,22,0
251.0,42,0,390781,13,13,6,5,2,5,2,0,0,40,22,2
252.0,59,5,171328,2,6,2,14,6,5,2,0,0,30,22,2
253.0,19,5,27382,10,10,1,5,0,3,1,0,0,40,22,2
254.0,58,0,259014,10,10,1,1,4,3,1,0,0,20,22,2
255.0,42,1,303044,12,9,6,0,1,0,1,0,0,40,17,0
256.0,20,0,117789,12,9,1,14,0,3,2,0,0,40,22,2
257.0,32,0,172579,12,9,0,14,4,3,2,0,0,30,22,2
258.0,45,0,187666,14,11,2,4,4,3,2,0,0,45,22,2
259.0,50,0,204518,15,4,5,7,4,3,1,0,0,40,22,2
260.0,36,0,150042,13,13,5,6,0,3,2,0,0,40,22,2
261.0,45,0,98092,12,9,6,3,1,3,1,0,0,60,22,2
262.0,17,0,245918,4,7,1,14,0,3,1,0,0,12,22,2
263.0,59,0,146013,10,10,6,3,1,3,1,4064,0,40,22,2
264.0,26,0,378322,4,7,6,7,1,3,1,0,0,40,22,2
265.0,37,3,257295,10,10,6,4,1,0,1,0,0,75,9,0
266.0,19,6,218956,10,10,1,8,0,3,1,0,0,24,13,2
267.0,64,0,21174,12,9,6,4,1,3,1,0,0,40,22,0
268.0,33,0,185480,13,13,1,6,4,3,2,0,0,45,22,2
269.0,33,0,222205,12,9,6,7,2,3,2,0,0,40,22,0
270.0,61,0,69867,12,9,6,4,1,3,1,0,0,40,22,0
271.0,17,0,191260,7,5,1,14,0,3,1,1055,0,24,22,2
272.0,50,1,30653,0,14,6,0,1,3,1,2407,0,98,22,2
273.0,27,5,209109,0,14,1,6,0,3,1,0,0,35,22,2
274.0,30,0,70377,12,9,5,6,0,3,2,0,0,40,22,2
275.0,43,0,477983,12,9,6,12,1,5,1,0,0,40,22,2
276.0,44,0,170924,10,10,6,7,1,3,1,7298,0,40,22,0
277.0,35,0,190174,10,10,1,4,4,3,2,0,0,40,22,2
278.0,25,0,193787,10,10,1,9,0,3,2,0,0,40,22,2
279.0,24,0,279472,10,10,6,13,2,3,2,7298,0,48,22,0
280.0,22,0,34918,13,13,1,6,4,3,2,0,0,15,39,2
281.0,42,5,97688,10,10,6,7,1,3,1,5178,0,40,22,0
282.0,34,0,175413,1,12,5,3,6,5,2,0,0,45,22,2
283.0,60,0,173960,13,13,5,6,4,3,2,0,0,42,22,2
284.0,21,0,205759,12,9,1,12,0,3,1,0,0,40,22,2
285.0,57,7,425161,0,14,6,3,1,3,1,15024,0,40,22,0
286.0,41,0,220531,6,15,6,6,1,3,1,0,0,60,22,0
287.0,50,0,176609,10,10,5,14,4,3,1,0,0,45,22,2
288.0,25,0,371987,13,13,1,4,4,3,2,0,0,40,22,2
289.0,50,0,193884,15,4,6,7,1,3,1,0,0,40,2,2
290.0,36,0,200352,13,13,6,6,1,3,1,0,0,45,22,2
291.0,31,0,127595,12,9,5,6,4,3,2,0,0,40,22,2
292.0,29,5,220419,13,13,1,2,4,3,1,0,0,56,22,2
293.0,21,0,231931,10,10,1,3,0,3,1,0,0,45,22,2
294.0,27,0,248402,13,13,1,9,6,5,2,0,0,40,22,2
295.0,65,0,111095,12,9,6,1,1,3,1,0,0,16,22,2
296.0,37,3,57424,13,13,5,3,4,3,2,0,0,60,22,2
297.0,39,6,157443,0,14,6,8,2,0,2,3464,0,40,26,2
298.0,24,0,278130,12,9,1,7,0,3,1,0,0,40,22,2
299.0,38,0,169469,12,9,5,3,4,3,1,0,0,80,22,2
300.0,48,0,146268,13,13,6,5,1,3,1,7688,0,40,22,0
301.0,21,0,153718,10,10,1,14,4,0,2,0,0,25,22,2
302.0,31,0,217460,12,9,6,1,1,3,1,0,0,45,22,0
303.0,55,0,238638,12,9,6,3,1,3,1,4386,0,40,22,0
304.0,24,0,303296,10,10,6,5,2,0,2,0,0,40,11,2
305.0,43,0,173321,12,9,5,5,4,3,2,0,0,40,22,2
306.0,26,0,193945,1,12,1,9,4,3,1,0,0,45,22,2
307.0,46,0,83082,1,12,1,6,4,3,2,0,0,33,22,2
308.0,35,0,193815,1,12,6,5,1,3,1,0,0,40,22,0
309.0,41,3,34987,10,10,6,0,1,3,1,0,0,54,22,0
310.0,26,0,59306,13,13,1,3,4,3,1,0,0,40,22,2
311.0,34,0,142897,0,14,6,4,1,0,1,7298,0,35,32,0
312.0,19,6,860348,10,10,1,8,0,5,2,0,0,25,22,2
313.0,36,1,205607,13,13,5,6,4,5,2,0,0,40,22,0
314.0,22,0,199698,10,10,1,3,0,3,1,0,0,15,22,2
315.0,24,0,191954,10,10,1,13,4,3,1,0,0,40,22,2
316.0,77,1,138714,10,10,6,3,1,3,1,0,0,40,22,2
317.0,22,0,399087,3,3,6,13,5,3,2,0,0,40,3,2
318.0,29,0,423158,10,10,1,9,4,3,2,0,0,40,22,2
319.0,62,0,159841,12,9,2,14,4,3,2,0,0,24,22,2
320.0,39,1,174308,12,9,6,4,1,3,1,0,0,40,22,2
321.0,43,0,50356,10,10,6,7,1,3,1,0,1485,50,22,2
322.0,35,0,186110,12,9,5,1,4,3,1,0,0,45,22,2
323.0,29,0,200381,4,7,1,4,4,3,2,0,0,40,22,2
324.0,76,1,174309,0,14,6,7,1,3,1,0,0,10,22,2
325.0,63,1,78383,12,9,6,0,1,3,1,0,0,45,22,2
326.0,23,6,211601,14,11,1,8,0,5,2,0,0,15,22,2
327.0,43,0,187728,10,10,6,6,2,3,2,0,1887,50,22,0
328.0,58,1,321171,12,9,6,12,1,3,1,0,0,40,22,2
329.0,66,0,127921,12,9,1,1,4,3,1,2050,0,55,22,2
330.0,41,0,206565,10,10,1,7,4,5,1,0,0,45,22,2
331.0,26,0,224563,13,13,1,5,4,3,1,0,0,40,22,2
332.0,47,0,178686,14,11,1,14,4,3,1,0,0,40,22,2
333.0,55,5,98545,2,6,6,5,1,3,1,0,0,40,22,2
334.0,53,0,242606,12,9,6,1,1,3,1,0,0,40,22,2
335.0,17,0,270942,3,3,1,14,5,3,1,0,0,48,3,2
336.0,30,0,94235,12,9,1,7,5,3,1,0,0,40,22,2
337.0,49,0,71195,0,14,1,6,4,3,1,0,0,60,22,2
338.0,19,0,104112,12,9,1,3,6,5,1,0,0,30,41,2
339.0,45,0,261192,12,9,6,14,1,5,1,0,0,40,22,2
340.0,26,0,94936,1,12,1,3,4,3,1,0,0,40,22,2
341.0,38,0,296478,14,11,6,7,1,3,1,7298,0,40,22,0
342.0,36,2,119272,12,9,6,2,1,3,1,7298,0,40,22,0
343.0,33,0,85043,12,9,1,0,4,3,1,0,0,20,22,2
344.0,22,2,293364,10,10,1,2,0,5,2,0,0,40,22,2
345.0,43,1,241895,13,13,1,3,4,3,1,0,0,42,22,2
346.0,67,6,36135,4,7,6,8,1,3,1,0,0,8,22,2
347.0,30,6,151989,14,11,5,8,6,3,2,0,0,40,22,2
348.0,56,0,101128,1,12,4,14,4,3,1,0,0,25,4,2
349.0,31,0,156464,13,13,1,6,0,3,1,0,0,25,22,2
350.0,33,0,117963,13,13,6,4,1,3,1,0,0,40,22,0
351.0,26,0,192262,12,9,6,14,1,3,1,0,0,40,22,2
352.0,33,0,111363,13,13,6,4,1,3,1,0,0,40,22,0
353.0,46,5,329752,4,7,6,1,1,3,1,0,0,30,22,2
354.0,59,6,372020,13,13,6,8,1,3,1,0,0,40,22,0
355.0,38,7,95432,12,9,6,5,1,3,1,0,0,40,22,0
356.0,65,0,161400,4,7,2,14,6,2,1,0,0,40,22,2
357.0,40,0,96129,14,11,6,9,1,3,1,0,0,40,22,0
358.0,42,0,111949,12,9,6,5,2,3,2,0,0,35,22,2
359.0,26,1,117125,7,5,6,7,1,3,1,0,0,40,23,2
360.0,36,0,348022,2,6,6,14,2,3,2,0,0,24,22,2
361.0,62,0,270092,0,14,6,6,1,3,1,0,0,40,22,0
362.0,43,0,180609,13,13,6,1,1,3,1,0,0,45,22,2
363.0,43,0,174575,13,13,5,4,4,3,1,0,1564,45,22,0
364.0,22,0,410439,12,9,4,3,4,3,1,0,0,55,22,2
365.0,28,0,92262,12,9,6,7,1,3,1,0,0,40,22,2
366.0,56,1,183081,10,10,6,3,1,3,1,0,0,45,22,2
367.0,22,0,362589,1,12,1,3,4,3,2,0,0,15,22,2
368.0,57,0,212448,13,13,5,4,4,3,2,0,0,45,22,0
369.0,39,0,481060,12,9,5,3,6,3,2,0,0,40,22,2
370.0,26,7,185885,10,10,1,5,6,3,2,0,0,15,22,2
371.0,17,0,89821,4,7,1,14,0,3,1,0,0,10,22,2
372.0,40,2,184018,14,11,6,13,1,3,1,0,0,38,22,0
373.0,45,0,256649,12,9,6,13,1,5,1,0,0,40,22,2
374.0,44,0,160323,12,9,1,7,4,5,1,0,0,40,22,2
375.0,20,5,350845,10,10,1,5,0,3,2,0,0,10,22,2
376.0,33,0,267404,12,9,6,7,2,3,2,0,0,40,22,2
377.0,23,0,35633,10,10,1,3,4,3,1,0,0,40,22,2
378.0,46,1,80914,0,14,5,4,4,3,1,0,0,30,22,2
379.0,38,0,172927,12,9,6,3,1,3,1,0,0,50,22,2
380.0,54,0,174319,12,9,5,1,4,3,1,0,0,40,22,2
381.0,46,0,214955,3,3,5,7,4,3,2,0,2339,45,22,2
382.0,25,0,344991,10,10,6,7,1,3,1,0,0,40,22,2
383.0,46,0,108699,10,10,5,3,4,3,2,0,0,40,22,2
384.0,36,5,117312,10,10,6,1,2,3,2,0,0,40,22,2
385.0,23,0,396099,12,9,1,14,4,3,2,0,0,25,22,2
386.0,29,0,134152,12,9,0,13,4,3,1,0,0,40,22,2
387.0,44,0,162028,10,10,6,5,2,3,2,0,2415,6,22,0
388.0,19,0,25429,10,10,1,5,0,3,2,0,0,16,22,2
389.0,19,0,232392,12,9,1,14,5,3,2,0,0,40,22,2
390.0,35,0,220098,12,9,6,14,2,3,2,0,0,40,22,0
391.0,27,0,301302,13,13,1,7,4,3,1,0,0,50,22,2
392.0,46,1,277946,1,12,0,7,4,3,1,0,0,40,22,2
